strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
4,14,20,2,7,0.08
4,14,20,3,7,0.07
4,14,30,1,7,0.11
4,14,30,2,7,0.11
4,14,30,3,7,0.12
4,21,5,1,7,0.05
4,21,5,2,7,0.05
4,21,5,3,7,0.05
4,21,10,1,7,0.05
4,21,10,2,7,0.06
4,21,10,3,7,0.05
4,21,20,1,7,0.09
4,21,20,2,7,0.07
4,21,20,3,7,0.08
4,21,30,1,7,0.12
4,21,30,2,7,0.12
4,21,30,3,7,0.11
6,1,5,1,7,0.03
6,1,5,2,7,0.03
6,1,5,3,7,0.03
6,1,10,1,7,0.02
6,1,10,2,7,0.02
6,1,10,3,7,0.02
6,1,20,1,7,0.02
6,1,20,2,7,0.02
6,1,20,3,7,0.02
6,1,30,1,7,0.01
6,1,30,2,7,0.01
6,1,30,3,7,0.01
6,3,5,1,7,0.03
6,3,5,2,7,0.03
6,3,5,3,7,0.03
6,3,10,1,7,0.02
6,3,10,2,7,0.02
6,3,10,3,7,0.02
6,3,20,1,7,0.02
6,3,20,2,7,0.02
6,3,20,3,7,0.03
6,3,30,1,7,0.02
6,3,30,2,7,0.02
6,3,30,3,7,0.02
6,7,5,1,7,0.03
6,7,5,2,7,0.03
6,7,5,3,7,0.03
6,7,10,1,7,0.03
6,7,10,2,7,0.05
6,7,10,3,7,0.04
6,7,20,1,7,0.05
6,7,20,2,7,0.05
6,7,20,3,7,0.06
6,7,30,1,7,0.07
6,7,30,2,7,0.08
6,7,30,3,7,0.07
6,14,5,1,7,0.03
6,14,5,2,7,0.03
6,14,5,3,7,0.03
6,14,10,1,7,0.03
6,14,10,2,7,0.05
6,14,10,3,7,0.03
6,14,20,1,7,0.05
6,14,20,2,7,0.05
6,14,20,3,7,0.05
6,14,30,1,7,0.07
6,14,30,2,7,0.07
6,14,30,3,7,0.08
6,21,5,1,7,0.03
6,21,5,2,7,0.03
6,21,5,3,7,0.03
6,21,10,1,7,0.05
6,21,10,2,7,0.03
6,21,10,3,7,0.05
6,21,20,1,7,0.05
6,21,20,2,7,0.06
6,21,20,3,7,0.05
6,21,30,1,7,0.07
6,21,30,2,7,0.07
6,21,30,3,7,0.07
2,1,5,1,14,0.1
2,1,5,2,14,
2,1,5,3,14,
2,1,10,1,14,0.15
2,1,10,2,14,
2,1,10,3,14,
2,1,20,1,14,0.17
2,1,20,2,14,
2,1,20,3,14,
2,1,30,1,14,0.22
2,1,30,2,14,
2,1,30,3,14,
2,3,5,1,14,0.1
2,3,5,2,14,
2,3,5,3,14,
2,3,10,1,14,0.15
2,3,10,2,14,
2,3,10,3,14,
2,3,20,1,14,0.23
2,3,20,2,14,
2,3,20,3,14,
2,3,30,1,14,0.29
2,3,30,2,14,
2,3,30,3,14,
2,7,5,1,14,0.1
2,7,5,2,14,
2,7,5,3,14,
2,7,10,1,14,0.12
2,7,10,2,14,
2,7,10,3,14,
2,7,20,1,14,0.15
2,7,20,2,14,
2,7,20,3,14,
2,7,30,1,14,0.23
2,7,30,2,14,
2,7,30,3,14,
2,14,5,1,14,0.2
2,14,5,2,14,
2,14,5,3,14,
2,14,10,1,14,0.3
2,14,10,2,14,
2,14,10,3,14,
2,14,20,1,14,0.42
2,14,20,2,14,
2,14,20,3,14,
2,14,30,1,14,0.48
2,14,30,2,14,
2,14,30,3,14,
2,21,5,1,14,0.2
2,21,5,2,14,
2,21,5,3,14,
2,21,10,1,14,0.3
2,21,10,2,14,
2,21,10,3,14,
2,21,20,1,14,0.45
2,21,20,2,14,
2,21,20,3,14,
2,21,30,1,14,0.5
2,21,30,2,14,
2,21,30,3,14,
4,1,5,1,14,0.05
4,1,5,2,14,0.05
4,1,5,3,14,0.05
4,1,10,1,14,0.04
4,1,10,2,14,0.05
4,1,10,3,14,0.05
4,1,20,1,14,0.04
4,1,20,2,14,0.05
4,1,20,3,14,0.05
4,1,30,1,14,0.05
4,1,30,2,14,0.06
4,1,30,3,14,0.06
4,3,5,1,14,0.05
4,3,5,2,14,0.05
4,3,5,3,14,0.05
4,3,10,1,14,0.05
4,3,10,2,14,0.05
4,3,10,3,14,0.05
4,3,20,1,14,0.06
4,3,20,2,14,0.06
4,3,20,3,14,0.09
4,3,30,1,14,0.07
4,3,30,2,14,0.08
4,3,30,3,14,0.11
4,7,5,1,14,0.05
4,7,5,2,14,0.05
4,7,5,3,14,0.05
4,7,10,1,14,0.06
4,7,10,2,14,0.06
4,7,10,3,14,0.06
4,7,20,1,14,0.07
4,7,20,2,14,0.07
4,7,20,3,14,0.09
4,7,30,1,14,0.11
4,7,30,2,14,0.11
4,7,30,3,14,0.11
4,14,5,1,14,0.1
4,14,5,2,14,0.1
4,14,5,3,14,0.1
4,14,10,1,14,0.15
4,14,10,2,14,0.15
4,14,10,3,14,0.15
4,14,20,1,14,0.21
4,14,20,2,14,0.21
4,14,20,3,14,0.21
4,14,30,1,14,0.25
4,14,30,2,14,0.24
4,14,30,3,14,0.24
4,21,5,1,14,0.1
4,21,5,2,14,0.1
4,21,5,3,14,0.1
4,21,10,1,14,0.15
4,21,10,2,14,0.15
4,21,10,3,14,0.15
4,21,20,1,14,0.23
4,21,20,2,14,0.23
4,21,20,3,14,0.21
4,21,30,1,14,0.25
4,21,30,2,14,0.25
4,21,30,3,14,0.25
6,1,5,1,14,0.03
6,1,5,2,14,0.03
6,1,5,3,14,0.03
6,1,10,1,14,0.02
6,1,10,2,14,0.02
6,1,10,3,14,0.02
6,1,20,1,14,0.02
6,1,20,2,14,0.02
6,1,20,3,14,0.03
6,1,30,1,14,0.02
6,1,30,2,14,0.02
6,1,30,3,14,0.03
6,3,5,1,14,0.03
6,3,5,2,14,0.03
6,3,5,3,14,0.03
6,3,10,1,14,0.03
6,3,10,2,14,0.03
6,3,10,3,14,0.03
6,3,20,1,14,0.03
6,3,20,2,14,0.03
6,3,20,3,14,0.03
6,3,30,1,14,0.04
6,3,30,2,14,0.04
6,3,30,3,14,0.05
6,7,5,1,14,0.03
6,7,5,2,14,0.03
6,7,5,3,14,0.03
6,7,10,1,14,0.03
6,7,10,2,14,0.05
6,7,10,3,14,0.04
6,7,20,1,14,0.05
6,7,20,2,14,0.05
6,7,20,3,14,0.06
6,7,30,1,14,0.07
6,7,30,2,14,0.08
6,7,30,3,14,0.07
6,14,5,1,14,0.07
6,14,5,2,14,0.07
6,14,5,3,14,0.07
6,14,10,1,14,0.1
6,14,10,2,14,0.1
6,14,10,3,14,0.1
6,14,20,1,14,0.14
6,14,20,2,14,0.14
6,14,20,3,14,0.14
6,14,30,1,14,0.16
6,14,30,2,14,0.17
6,14,30,3,14,0.16
6,21,5,1,14,0.07
6,21,5,2,14,0.07
6,21,5,3,14,0.07
6,21,10,1,14,0.1
6,21,10,2,14,0.1
6,21,10,3,14,0.1
6,21,20,1,14,0.15
6,21,20,2,14,0.15
6,21,20,3,14,0.14
6,21,30,1,14,0.16
6,21,30,2,14,0.17
6,21,30,3,14,0.17
2,1,5,1,21,0.2
2,1,5,2,21,
2,1,5,3,21,
2,1,10,1,21,0.2
2,1,10,2,21,
2,1,10,3,21,
2,1,20,1,21,0.35
2,1,20,2,21,
2,1,20,3,21,
2,1,30,1,21,0.43
2,1,30,2,21,
2,1,30,3,21,
2,3,5,1,21,0.2
2,3,5,2,21,
2,3,5,3,21,
2,3,10,1,21,0.25
2,3,10,2,21,
2,3,10,3,21,
2,3,20,1,21,0.38
2,3,20,2,21,
2,3,20,3,21,
2,3,30,1,21,0.47
2,3,30,2,21,
2,3,30,3,21,
2,7,5,1,21,0.2
2,7,5,2,21,
2,7,5,3,21,
2,7,10,1,21,0.3
2,7,10,2,21,
2,7,10,3,21,
2,7,20,1,21,0.42
2,7,20,2,21,
2,7,20,3,21,
2,7,30,1,21,0.5
2,7,30,2,21,
2,7,30,3,21,
2,14,5,1,21,0.2
2,14,5,2,21,
2,14,5,3,21,
2,14,10,1,21,0.3
2,14,10,2,21,
2,14,10,3,21,
2,14,20,1,21,0.42
2,14,20,2,21,
2,14,20,3,21,
2,14,30,1,21,0.48
2,14,30,2,21,
2,14,30,3,21,
2,21,5,1,21,0.4
2,21,5,2,21,
2,21,5,3,21,
2,21,10,1,21,0.43
2,21,10,2,21,
2,21,10,3,21,
2,21,20,1,21,0.5
2,21,20,2,21,
2,21,20,3,21,
2,21,30,1,21,0.5
2,21,30,2,21,
2,21,30,3,21,
4,1,5,1,21,0.05
4,1,5,2,21,0.08
4,1,5,3,21,0.1
4,1,10,1,21,0.05
4,1,10,2,21,0.05
4,1,10,3,21,0.07
4,1,20,1,21,0.06
4,1,20,2,21,0.09
4,1,20,3,21,0.11
4,1,30,1,21,0.08
4,1,30,2,21,0.14
4,1,30,3,21,0.19
4,3,5,1,21,0.08
4,3,5,2,21,0.1
4,3,5,3,21,0.1
4,3,10,1,21,0.06
4,3,10,2,21,0.07
4,3,10,3,21,0.1
4,3,20,1,21,0.1
4,3,20,2,21,0.12
4,3,20,3,21,0.16
4,3,30,1,21,0.17
4,3,30,2,21,0.22
4,3,30,3,21,0.27
4,7,5,1,21,0.1
4,7,5,2,21,0.1
4,7,5,3,21,0.1
4,7,10,1,21,0.1
4,7,10,2,21,0.1
4,7,10,3,21,0.12
4,7,20,1,21,0.19
4,7,20,2,21,0.22
4,7,20,3,21,0.24
4,7,30,1,21,0.28
4,7,30,2,21,0.32
4,7,30,3,21,0.35
4,14,5,1,21,0.1
4,14,5,2,21,0.1
4,14,5,3,21,0.1
4,14,10,1,21,0.15
4,14,10,2,21,0.15
4,14,10,3,21,0.15
4,14,20,1,21,0.21
4,14,20,2,21,0.21
4,14,20,3,21,0.21
4,14,30,1,21,0.25
4,14,30,2,21,0.24
4,14,30,3,21,0.24
4,21,5,1,21,0.2
4,21,5,2,21,0.2
4,21,5,3,21,0.2
4,21,10,1,21,0.23
4,21,10,2,21,0.23
4,21,10,3,21,0.21
4,21,20,1,21,0.25
4,21,20,2,21,0.25
4,21,20,3,21,0.25
4,21,30,1,21,0.25
4,21,30,2,21,0.25
4,21,30,3,21,0.25
6,1,5,1,21,0.03
6,1,5,2,21,0.03
6,1,5,3,21,0.03
6,1,10,1,21,0.03
6,1,10,2,21,0.03
6,1,10,3,21,0.03
6,1,20,1,21,0.03
6,1,20,2,21,0.03
6,1,20,3,21,0.03
6,1,30,1,21,0.03
6,1,30,2,21,0.05
6,1,30,3,21,0.06
6,3,5,1,21,0.03
6,3,5,2,21,0.03
6,3,5,3,21,0.03
6,3,10,1,21,0.03
6,3,10,2,21,0.03
6,3,10,3,21,0.04
6,3,20,1,21,0.05
6,3,20,2,21,0.05
6,3,20,3,21,0.06
6,3,30,1,21,0.07
6,3,30,2,21,0.08
6,3,30,3,21,0.09
6,7,5,1,21,0.07
6,7,5,2,21,0.07
6,7,5,3,21,0.07
6,7,10,1,21,0.07
6,7,10,2,21,0.05
6,7,10,3,21,0.07
6,7,20,1,21,0.11
6,7,20,2,21,0.1
6,7,20,3,21,0.13
6,7,30,1,21,0.18
6,7,30,2,21,0.21
6,7,30,3,21,0.21
6,14,5,1,21,0.07
6,14,5,2,21,0.07
6,14,5,3,21,0.07
6,14,10,1,21,0.1
6,14,10,2,21,0.1
6,14,10,3,21,0.1
6,14,20,1,21,0.14
6,14,20,2,21,0.14
6,14,20,3,21,0.14
6,14,30,1,21,0.16
6,14,30,2,21,0.17
6,14,30,3,21,0.16
6,21,5,1,21,0.1
6,21,5,2,21,0.13
6,21,5,3,21,0.13
6,21,10,1,21,0.15
6,21,10,2,21,0.15
6,21,10,3,21,0.15
6,21,20,1,21,0.17
6,21,20,2,21,0.17
6,21,20,3,21,0.17
6,21,30,1,21,0.17
6,21,30,2,21,0.17
6,21,30,3,21,0.17
